clase;medio;texto_limpio
Homicidi per imprudència;La Vanguardia;detenidos atropello pelea vacarisses libertad declarar juzgado guardia terrassa barcelona decretado libertad domingo detenidos hechos ocurridos madrugada sabado vacarisses barcelona presuntamente produjo atropello diversas personas atentados autoridades alcalde vacarisses atribuye incidente puntual detenidos causas abiertas atentado autoridad conduccion temeraria acogido derecho declarar informado tribunal superior justicia catalunya tsjc comunicado autor presunto atropello anos anos hechos acabaron agentes heridos leves produjeron zona proxima celebrado concierto fiesta localidad
Atemptat a autoritat, agents de l'autoritat i resistència i desobediència;La Vanguardia;juicio fotoperiodista acusado empujar fotoperiodista diario albert garcia sienta jueves banquillo fiscalia acusa empujar protestas sentencia proces ano pide pena nueves meses carcel delito atentado autoridad escrito acusacion asegura fotoperiodista propino fuerte empujon desequilibrando agente golpeandole mano derecha causandole esguince pulgar derecho hechos produjeron octubre graves disturbios produjeron plaza urquinaona barcelona garcia trabajando cobertura comunicacion detenido nacional acusandolo agredido agentes actuacion grabada multiples periodistas zona anos garcia constado investigado delito lesiones atentado autoridad nacional acusaba agredido agentes audiencia barcelona acepto parcialmente recurso retiro cargos imputaron principio
Agressions sexuals i Abusos sexuals;La Vanguardia;tsjc confirma condena manada manresa abusos violacion tribunal superior justicia catalunya tsjc confirmado condena miembros manada manresa barcelona abusos sexuales grupo nina anos sentencia incluye voto particular juez defiende condenarlos violacion abuso sentencia sala civil penal consultada europa press desestima recursos condenados sentencia audiencia barcelona estima fiscalia mantiene delito eleva indemnizacion victima
Tortures i delictes contra l'integritat moral;La Vanguardia;estrasburgo advierte malos tratos carceles catalanas elcomite antitorturadelconsejo europa exhaustivo informe publico martes enestrasburgo expresa preocupacion casos demaltratoadetenidospor losmossos esquadray situaciones similares ocurridas lascarceles catalanas deficiencias estructurales corregido procedimientos mejorarse informe paginas fruto visita inspeccion realizada septiembre constata mayoria personas entrevistadas declararon tratadas correccion destaca excelente colaboracion autoridades espanolas catalanas facilitar comite compromiso aplicar recomendaciones
Agressions sexuals i Abusos sexuals;La Vanguardia;tsjc ratifica condena anos meses pederasta joaquin benitez sala civil penal tribunal superior justicia catalunya confirmado viernes sentencia contrajoaquin benitez exprofesor losmaristasde sants corts condenado anos meses carcel porabusar sexualmentede alumnos menores edad pederasta confeso pagara acusaciones archivaron prescrito aseguradora escuela tendra pagar euros concepto indemnizacion victimas defensa joaquin benitez presentar recurso casacion tribunal supremo
Homicidi Consumat;La Vanguardia;hombre asesina pareja hija esplugues llobregat agentes detenido manana hombre anos nacionalidad espanola acusado cometido undoble homicidio vecino deesplugues llobregat barcelona habriaasesinado pareja lahijade solotres anos detencion producido catalana alertada crimen vivienda matrimonio esplugues llobregat servicios emergencias desplazados zona podido salvar vida victimas
Furt;La Vanguardia;fura bandas relojeros suerte bicitaxis madrugadas semana ofrecieron ocasiones trasladar pedaleando escribe trataba documentar losfurade ciutat vella grupo escrito web dela vanguardia deagentes seguridad ciudadana paisanoespecializados combatir multireincidentes delincuentes conocen localizan persiguen vistos detenerlosin fraganti diario adelanto semana creacion grupo operativo region policial barcelona dedicado exclusivamente problematicas delincuenciales disparado ultimas semanas losrelojeros grupo integrado amalgama unidades especializadas prioridad problematica mirada amplia papel crucial investigacion tratar seguir rastro relojes robados grupo asume elaboracion atestados redactarlos complicidad jueces fiscales barcelona tratar porcentaje alto ingresos prision detenidos grupo operativo derelojerosarranco semana pasadacentrandose horario comprobar asaltos violentos produciendo plena luz robos delincuentes persigan objetivos salen restaurante hotel paseo cenar
Robatori amb violència i/o intimidació;La Vanguardia;prision hombres asalto violento casa alt emporda hombres ingresado prision detenidos presuntos autores asalto violento vivienda localidad ampurdanesa cantallops amordazaron agredieron matrimonio dijera caja fuerte informado domingo detencion hombres nacionalidad dominicana anos produjo semana arrestado diciembre aeropuerto barajas pretendia volar
Homicidi per imprudència;La Vanguardia;indicios homicidio imprudente muerte buceadores judicial guardia civil tarragona entrego juzgado atestado relato hechos presuntamente acontecido domingo agosto playa segur calafell murieron hombres habian contratado bautismo buceo club escafandra ultima semana media guardias civiles recabado relato testigos citado declarar director responsable monitores participaban actividad negaron declarar sede policial diligencias entregadas juzgado investigadores aprecian delitos homicidio imprudente falsedad documental direccion investigacion pasa manos juez vendrell proximos volvera citar investigados testigos acceso relato ocurrio domingo hombres anos murieron ahogados metros costa tramo playa metros profundidad
Assassinat Consumat;La Vanguardia;detenido barcelona fugitivo buscado espana considerado fugitivos buscados espana detenido domingo nacional munia barcelona arrestado acusado autor material asesinato empleado empresa tarragona disparo cabeza atraco fugitivo condenado anos prision hechos desaparecido vivia identidad masia aislada localidad castellvi marca barcelona ocultado filiacion pareja hija residia informado domingo catalana
Agressions sexuals i Abusos sexuals;La Vanguardia;caso menor violada igualada meses compleja investigacion dejan investigar caso conseller interior joan ignasi elena subrayado papel catalana caso laagresion sexual joven anos salida discoteca igualada investigacion definido alta complejidad dificultad reunir elementos prueba acusado disposicion judicial suficiente aseguro trabajado energia brutal permanente tenaz preciso insistido comenzo noviembre agresion jueves permitido detencion hombre anos investigacion curso noche octubre noviembre fiesta halloween victima acudido amigos discoteca epic poligono comes igualada tenia previsto volver ferrocarrils generalitat catalunya fgc domicilio madre vilanova geltru madre joven hablaron ocasion whatsapp llego coger tren previsto camioneros encontraron sentido contrario estacion desnuda practicamente inconsciente
Incendi;La Vanguardia;despliegue ebro paran fuego ola calor escenarios previstos pobla massaluca incendio alta intensidad ola calor termometro escalando grados humedades bajisimas rachas viento kilometros hora zona forestal vegetacion dificil acceso territorio hostil aliados proximidad rio ebro barrera natural cercania pantano riba roja matarranya pudieron cargar agua medios aereos tercero simultaneidad fuegos importantes catalunya aragon amenazas permitio concentrar efectivos esfuerzos medianoche pobla massaluca terra alta incendio ola calor
Assassinat Consumat;La Vanguardia;detenidos asesinato septiembre enfermera girona losmossoshandetenidoacuatro personasen tresintervenciones policiales simultaneasllevadas cabo localidades derubi barcelona lloret mar girona ygironapor presunta relacion elasesinato enfermeraen ultima ciudad septiembre cuyo cadaver hallado fuentes investigacion cuerpo aparecio domicilio atado silla consignos evidentes violencia hija companeras clinica empleada acudiesen presentado respondia llamadas telefono
Robatori amb força;La Vanguardia;dobrowolski queda libertad robo casa mainat canet juzgado instruccion arenys mar barcelona acordado miercoles libertad provisional esposa productor televisionjosep maria mainat angela dobrowolski disposicion juez detenida martes presuntamente robar casa canet mar barcelona juez dejado libertad amante gabriel detenido deberan presentarse juzgado requeridos informa tribunal superior justicia catalunya tsjc acusaciones pedido imponer detenidos medidas cautelares presunto robo fuerza
Contra els animals;La Vanguardia;comunidad santera badalona realizaba decenas sacrificios animales ritos lapolicia local badalona barcelona desarticulo octubre presuntogrupoque utilizaba domicilio particular ciudad parapracticar rituales santeriadondesacrificabandecenas deanimalescada semana comunicado animanaturales miercoles confirmado cuerpo policial europa press ong defensa animales destapo caso aviso guardia urbana entro domicilio interrumpir sacrificio trece animales animales rescatados llevaron fundacion santuari gaia girona
Danys;La Vanguardia;refuerzan proteccion palau ataque sangre animal conseller interior miquel samper reunio caracter urgencia comisario jefe eduard sallent director pere ferrer cita complejo central sabadell analizo elataqueconglobosdesangre animaly pintura grupo personas realizaron manana lafachadadelpalau generalitat responsables acordaron reforzar inmediatamente medidas proteccion palau conselleria interior equipos arro especializados seguridad ciudadana vigilan edificio plaza sant jaume ataque ocurrio sorpresa media manana grupo personas llego sant jaume mascarillas sanitarias caretas ocultando completamente rostro colocaron frente fachada principal portando cajas plastico utilizan mataderos cargar cantidades carne representantes grupo acercaron puerta principal pidieron hablar responsable govern contaron representantes sector restauracion alargar semanas cierre bares restaurantes puerta indico domingo recibirles hacian
Assassinat Consumat;La Vanguardia;prision detenidos acusados asesinato anciana calella margarida boschmonart tenia anos accedieron vivienda centro calella asesinaron espalda punaladas vivia autonoma especialmente querida localidad costera asesinato febrero anos grupo homicidios region policial metropolinana norte trabajado especial dedicacion caso complejo ido surgiendo descartando mesa investigadores distintos candidatos viernes tribunal superior justicia catalunya detencion martes sospechosos nacionalidad espanola vecino calella pineda titular juzgado instruccion arenys mar mantiene causa abierta secreta sospechosos pasaron jueves disposicion judicial viejo conocido antecedentes robos casual historial delictivo anteriores robos violencia precisamente mujeres mayores edad victima arrestado desconocido uniformados magistrada acordo prision provisional eludible fianza euros detenidos libertad provisional medidas cautelares retirada pasaporte prohibicion salida territorio comparecencias juzgado arrestados investigadores consideran autor material crimen carcel decidieron detenerle policias acudir prision llevarselo detenido declarar juzgado
Ocupació immobles;La Vanguardia;desalojan mujer mainat orden judicial comitiva judicial procediendo aldesalojode vivienda familiar deangela dobrowolski mujer productor televisivo fundador trincajosep maria mainat barrio dehortade barcelona informado efe fuentes tribunal superior justicia catalunya explicado vecinos zona europa press noche martes angela dobrowolski supuestamente saco muebles lamparas interior casa ayuda personal mudanzas torno salido vivienda coche viajaban angela dobrowolski actuales abogados jose abel marian avedillo
Incendi;La Vanguardia;incendio quema hectareas parque natural cap creus obliga evacuaciones expertos avisaban seria verano complicado materia incendios semana catalunya extinguido incendio castellvi rosanes martorell barcelona declarado parque natural cap creus municipios llanca port selva girona provocado movilizacion numerosas dotaciones bomberos desalojo urbanizaciones monasterio sant pere rodes quemado hectareas bombers generalitat recibido aviso incendio vegetacion forestal informa cuerpo habria empezado zona urbanizacion cau llop apunta conseller interior joan ignasi elena incendio carretera llanca port selva habria provocado colilla principal hipotesis baraja investigacion ano incendios causados colillas investigaremos irresponsabilidad flagrante natural anade elena tuit
Incendi;La Vanguardia;incendio castellvi rosanes quema hectareas obliga desalojar viviendas bombers generalitat cuarto incendio vegetacion castellvi rosanes llobregat barcelona quemado hectareas mayoria termino municipal martorell principio cuerpo emergencias enviado dotaciones terrestres medios aereos cifra camiones agua ido ampliando vehiculos terrestres medios aereos cruz roja enviado profesionales vehiculos apoyo logistico bomberos cuerpos peticion centro coordinacion operativa catalunya desconocen heridos viviendas afectadas incendio forestal
Trencament de condemna;La Vanguardia;detenido homicida fugado prision quatre camins abril losmossos esquadradetuvieron miercoles badalona barcelona hombre condenado homicidioquese habiafugadohace mesesdel centro penitenciarioquatre camins situado roca valles detencion practicaron agentes adscritos grupo busqueda activa fugitivos unidad entorno penitenciario iniciaron investigacion mes abril preso lograra fugarse ayuda persona
Contra la salut pública;La Vanguardia;macrojuicio asociacion cannabica audiencia barcelona celebra mediados julio macrojuicio asociacion cannabica barcelona banquillo acusados sientan personas anos abrieron clubs cannabicos asociacion barcelonesa cannabica autoconsumo sucedieron podia fumar marihuana gracias limbo legal asientan asociaciones caso fiscalia rebasaron limite legal conformaron red trafico drogas amparada supuesta legalidad brindaban asociaciones autoconsumo trama encabezada vojislav djordjevic zarco tomic nacionalidad serbia fiscal pide pena anos prision trafico drogas blanqueo capitales djordjevic presidente asociacion negocio alcalde rasquera bernat pellissa creacion macroplantacion marihuana autoconsumo proyecto aprobado municipio yque debia ayudar paliar deuda municipal crear puestos acabo llevando cabo
Assassinat Consumat;La Vanguardia;hombre asesino mujer hija esplugues llobregat pasa dependencias policiales autor confeso delasesinatode sumujerysuhija esplugues llobregatha trasladado manana adependenciaspolicialesde recibir permiso hospitalario ingresado autolesiones espera hombre pase adisposicionjudicial miercoles joven anos detenido autor muerte mujer hija anos domicilio esplugues llobregat ingresado centro hospitalario haberse autolesionado
Assassinat Consumat;La Vanguardia;hospitalizado autolesionarse acusado matar mujer hija esplugues llobregat joven anosdetenidopor losmossos esquadracomo presunto autor lamuerte mujer suhija anos domicilio deesplugues llobregat barcelona ingresado centro hospitalario haberse autolesionado tribunal superior justicia catalunya tsjc informado antecedentes judiciales violencia pareja juez juzgado instruccion esplugues llobregat funciones guardia decretado secreto actuaciones
Robatori amb força;La Vanguardia;detienen ladron robar objetos joyas valoradas euros piso barcelona agentes generalitat unidad investigacion comisaria sarria sant gervasi detuvieron hombre multirreincidente anos nacionalidad kosovar presunto autor robo fuerza domicilio distrito abril robo fuerza domicilio calle balmes distrito sarria sant gervasi barcelona ladron llevo objetos joyas valoradas euros
Assassinat Consumat;La Vanguardia;juez sabadell reabre investigacion muerte helena jubany juzgado instancia desabadell barcelona acordado reabrir actuaciones investigados muerte joven helena jubany asesinada ciudad eltribunal superior justicia catalunya tsjc informado magistrado acordado reabrir diligencias informe fiscalia
Lesions;La Vanguardia;renfe expedienta guardias seguridad agredir pasajero mascarilla renfeha abiertoexpedienteados vigilantesde seguridad difundido video redes sociales ve reduciendo fuerza unpasajero acaban esposando ygolpeandoen interior vagon confirmado efe fuentes renfe hechos manana tren estacion franqueses valles barcelona video graba pareja viajero ve vigilantes tumban hombre boca asientos esposan tratan inmobilizarle fuerza
Contra el patrimoni històric;La Vanguardia;delitos arqueologicos doblan pandemia pandemia confinamiento detienen personas acuden yacimientos arqueologicos detector metales espoliar restos hechos investigados patrimonio historico doblaron concreto ano comparacion anteriores situaron respectivamente ano cifra elevo casos subinspector division investigacion criminal jonathan herrera publicidad infractores redes provoca efecto llamamiento personas observan conductas videos explicativos detalla dirigirse metodologia acceder yacimientos arqueologicos problema asocia acceso facil publico conductas legales realidad indica herrera precisamente traves redes sociales ciberpatrullaje policial agentes capturar infractores recuperar casos piezas arqueologicas
Contra la salut pública;La Vanguardia;interceptan gramos hachis arrojados patio prision jovenes quatre camins funcionarios prisiones interceptadosetenta gramos hachisarrojados exterior patio laprision jovenes quatre camins avanzado catalunya envio estabaescondidoen interior dospelotas tenis carcel intervino mercancia episodios evidencian reclusos ingenian vencer sindrome abstinencia acentua proposito crisis sanitaria direccion servicios penitenciarios generalitat resto decreto cerrojazo absoluto prisiones evitar entrada coronavirus carceles obligado traslados masivos reclusos govern veto tipo contacto exterior encuentros familiares locutorios vis vis intimos consecuencia impidio droga entrase ilegalmente prisiones adictos sufren familiares sexo drogas coctel explosivo
Desordres públics;La Vanguardia;personas mantienen activa fiesta ilegal llinars valles macrofiesta ilegal detectada madrugada poligono industrial llinars valles local personas activa pese presencia presion autoridades autoridades policiales intencion desalojar asistentes ven conveniente mantienen dispositivo accesos identifica personas abandonan entorno nave aparcados doscientos vehiculos mediodia seguian llegando vehiculos gente pretendia celebracion ilegal prolonga cumplen medidas seguridad impuestas gobierno frenar covid
Contra la salut pública;La Vanguardia;desmantelada nave plantas marihuana detenidos personas detenidas operacion cargo nacional culminado intervencion nave industrial plantas marihuana nave encontraba termino municipal roca valles barcelona arrestados miembros familia informado martes nacional comunicado nave industrial contaba compleja infraestructura ventilacion insonorizacion pasar inadvertidos vecindario valorada euros funcionaba vivero plantaciones marihuana
Lesions;La Vanguardia;disparo disparo pregunta enfadado eric losvoluntariosdearrelsen relacion actuacion delguardia urbanoque sabado hirio gravedad marjan persona hogar elpaseo sant joan eric insiste sucesos evidencian indefension expuestos ciudadanos duermen raso habituales companeros tomas johnny noche jueves aceptaron participar encuesta voluntarios fundacion arrels determinar afectando pandemia lossintecho vecinos recorrieron barcelona inicio toque queda bares restaurantes bajaron persiana eric amigos metieron sacos esquina bar glaciar plaza reial intentaron conciliar sueno sonido fondo radio hora retransmitia az alkmaar real sociedad eric luciendo bufanda gorra aneja barca seguidor futbol especialmente conjunto blaugrana praga trabajaba periodista deportivo diario quince anos vino catalunya iniciando vida raso tomas llegado milan johnny hungria joven contesta seria acabaria intemperie
Organitzacions i grups criminals;La Vanguardia;desarticulan banda internacional dedicada trafico armamento explosivos grupo interdisciplinar laagencia tributariayvarios cuerpos policialesha detenido personas encatalunyay lacomunitat valencianacomo presuntos integrantes unabanda internacional desarticulada dedicada altrafico armas explosivosy blanqueo espana diez millones euros comunicado emitido sabado agencia tributaria informa investigacion iniciada participado miembros organismo nacional europol coordinados fiscalia especial corrupcion criminalidad organizada supervisada juzgado central instruccion numero audiencia nacional
Assassinat Consumat;La Vanguardia;mosso mato expareja terrassa acosaba volviera elmosso esquadraque ayermatode undisparoa suexpareja anos enterrassa barcelona suicido tenia antecedentes judiciales maltrato agresiones machistas familiares victimallevaba hostigandola volvieracon tribunal superior justicia catalunya informado manana constan antecedentes judiciales violencia agente expareja cuyos cadaveres hallados anoche aparcamiento terrassa
Contra els drets dels treballadors;La Vanguardia;inspeccion sanciono petroquimica origino explosion lainspeccion trabajode catalunya desvelado quela empresa iqoxe exploto martes deposito oxido etileno recibido ultimos anoscuatro sanciones oscilan euros compania multada diversos incumplimientos normativa inspeccion avanzado llevara cabouna investigacion fondo accidente fallecieron personas resultaron heridas diversa consideracion conseller generalitat chakir homrani asegurado inspeccion ira fondo aclarar causas responsabilidades accidente grave
Contra la salut pública;La Vanguardia;desarticulan grupo familiar dedicado trafico cocaina losmossos esquadrahandesarticuladoen roda ter barcelona ungrupo criminal formado hermanos dedicado ladistribuciondecocainaen catalunya central operacion permitido detener personas intervenir kilos cocaina hachis euros informa sabado autonomica investigacion comenzo mes julio detectaron roda ter importante volumen transacciones relacionadas trafico cocaina
Incendi;La Vanguardia;llega barcelona fuerte olor incendio destruido planta reciclaje granollers ciudad debarcelonase despertado miercoles fuerteolor plastico quemado hedor proveniente unaparatoso incendioque noche destruido unaplanta reciclaje granollers kilometros notado puntos capital catalana sant andreu eixample sarria municipios area metropolitana cornella llobregat extincion fuego investigando causas participado dotaciones bomberos permanecen zona bomberos quedan puntos calientes edificio causan columna humo visible remojando apagarlos rebajar temperatura bomberos exterior nave colapsado seguridad entrar activado maquina retroexcavadora falta facilitar extincion incendio
Assassinat Consumat;La Vanguardia;prision permanente revisable asesino nina laia vilanova audiencia barcelona dictado sentencia casos sobrecogedores ultimos anos catalunya asesinato laia menor anos bajaba escalera casa abuelos encontrarse padre interceptada escalera vecino violo asfixio acuchillo matarla tribunal dictado martes sentencia impone acusado juan francisco lopez ortiz pena prision permanente revisable delito asesinato alevosia ensanamiento anos agresion sexual linea declaro jurado popular magistrado lopez ortiz incremento forma deliberada innecesaria dolor nina golpes propino heridas cortantes produjo crimen remonta junio abuelo laia ido buscar nieta colegio menor permanecio casa padre buscar padre laia pico timbre nina escalera acusado vecino piso intercepto presente caso infiere dificultad acusado autor hechos objeto enjuiciamiento agredio sexualmente menor causo muerte asfixia sostiene fallo
Tracte degradant / vexatori;La Vanguardia;joven graba insultos racistas mosso mono negro mierda entidadsos racismoha publico lunes unaudiode directa escucha unagente identifica organizacion profiere repetidosinsultos racistasa persona unmono negro mierda comunicado sos racismo indica insultos lanzados contrawubi joven anos encontraba pequena localidad bages provincia barcelona habria denunciante grabo audio escena objeto insultos amenazas tipo proxima veas corre irte africa denuncia escupido pateado
Assassinat Consumat;La Vanguardia;detuvieron peligroso asesino anos carcel rehabilitado vale vale dino marcello miller considerado momentos delincuentes peligrosos catalunya opuso resistencia detuvieron viernes plena calle centro lleida marcello quedado libertad mes diciembre cumplir centre ponent anos carcel condenado decada noventa siglo asesinatos homicido barcelona
Assassinat Consumat;La Vanguardia;detenida pareja mujer asesinada sabado esplugues llobregat losmossos esquadrainvestigan muerte unamujerque sabado manana hallada consignos violenciaen domicilio esplugues llobregat cuyo presunto agresor hombre anos nacionalidad espanola detenido badalona producirse crimen saberla vanguardia catalana hipotesis trate caso deviolencia generoy informado fuentes conocedoras europa press habria asesinada pareja arma blanca victima agresor compartian personas piso barrio vidalet produjeron hechos
Assassinat Consumat;La Vanguardia;jurado popular atroz asesinato nina anos vilanova fiscal abogado acusacion defensa dirigen tribunal peticion favor objetivos lloren familia seguiran llorando anos compadezcan acusado advirtio abogado acusador juan carlos zayas jurado popular formado nueve ciudadanos dificil reto encontrar equilibrio empatizar exceso familia victima espeluznante ensanarse acusado confesado crimen inhumano inicio juicio juan francisco lopez ortiz anos junio secuestro violo asesino laia alsina anos acusado asfixio correa perro asesto multiples punaladas crimen horrible confesado acusado detenido local vilanova geltru agentes intervenir evitar linchamiento vecinos agonica busqueda descubrieron cadaver nina casa acusado escondido colchon debera decidirse juicio capacidad discernimiento asesino asegura hechos encontraba influencia alcohol drogas consciente laia mayoria tardes casa abuelos salir colegio espera padre recoger padre nina pulso interfono hija pisos portal vecino intercepto asesino acusado llegado china montado negocio parecer tenia obsesion jovenes asiaticas laia adoptada china padres hallaron ordenador acusado videos chicas orientales fiscal familia victima piden acusado prision permanente revisable indemnizacion euros delitos asesinato alevosia ensanamiento contexto delito libertad sexual agresion sexual lopez ortiz causo sufrimiento victima
Contra la salut pública;La Vanguardia;cae banda traficantes marihuana dirigida valls serbia acababa bebe guardia civilha desarticulado barcelona tarragona unaorganizacion criminaldedicada trafico internacional marihuanadirigida mujer serbia anos edad lider bandaacababa bebe fuentes caso principales caracteristicas capo maximo organizacion queiba partes criatura datos instituto armado banda importante desarticulada catalunya ano dedicada marihuana equipos guardia civil desmanteladodoce plantacionesy hadetenido personas mujer serbia dirigia entramadodesde cuartel valls tarragona
Homicidi Consumat;La Vanguardia;investigacion susqueda llega recta senalando magenti felic genial vivint vida vull palabras pertenecen fragmento textos paula escribio asesinada disparo cabeza anos joven anos mantenia relacion marc hernandez anos sentian pasion naturaleza agosto pusieron rumbo pantano susqueda navegar viejo kayak camara seguridad caixabank cellera ter grabo manana acaban despertar asesinados cuerpos desnudos lastrados fondo pantano cuyas aguas emergieron
Incendi;La Vanguardia;fuego devora hectareas cap creus inestable fuego alimentado tramontana quemado hectareas inmensa mayoria parc natural cap creus informado sabado conseller interior generalitat joan ignasi elena desplazado asegurado sabado intentaremos detectar responsable inicialmente informado hectareas afectadas mejorar visibilidad zona agentes rurales reducido cifra declaraciones rac elena detallado hipotesis colilla cigarro causa fuego llegar localizar autor traves prueba afrontaria consecuencias penales catalana analiza adn cotejarla base datos registran heridos leves equipos emergencias bomberos forestal afectados
Desordres públics;La Vanguardia;intervencion pone rave cabecillas rave musica electronica meses organizando fiesta debia durar domingo noche vieja nave afueras llinars valles finalmente mediodia empezara baile indignacion acabada operativo policial termino baile personas detenidas investigadas acusadas delito desobediencia identificadas sancionadas administrativamente incumplir medidas sanitarias establecidas pandemia elevo consulta fiscal guardia granollers termino judicial instruye diligencias acusar arrestados delito salud publica permitir concentracion caracteristicas ningun control normas seguridad sanitaria posibilidad dificilmente prosperara constancia asistentes pudieran infectados covid
Assassinat Consumat;La Vanguardia;asesinos enfermera pidieron hora matarla losmossos esquadradetuvieron lunes personas supuestamente urdieron ejecutaron elasesinato enfermera gironacon objetivo derobarleeldineroque escondia doscajas fuertes consta autos dictados juez decreta ingreso prision accesola vanguardia arrestados concertaron unacita medicacon victima acceder domicilio apoderarse botin acabar vida evitar identificados plan premeditado mes antelacion investigadores asaltantes asesinaron enfermera vacio incapaces violentar caja fuerte carme font anos persona conocida girona aparecio septiembre asesinada domicilio situado avenida barcelona habian atado bridas golpeado forma brutal supervisora unidad dialisis clinica girona tenia consulta privada podologia casa fallecida gestionaba pisos manejaba importantes cantidades dinero puso diana asaltantes
Assassinat Consumat;La Vanguardia;tsjc confirma penas anos rosa peral albert lopez crimen guardia urbana tribunal impone pena maxima rosa peral albert lopez anos carcel respectivamente agentes guardia urbana acusados matar agente pedro rodriguez cuyo cuerpo aparecio calcinado maletero coche pista forestal pantano foix mayo tribunal superior justicia catalunya tsjc rechazado recursos apelacion presentados defensas ratificado integramente sentencia dicto audiencia barcelona abril veredicto inculpatorio elaboro jurado popular desvanecen opciones peral lopez puedan rebajada pena puedan declarados inocentes anos prision sentencias ratifican pruebas condenados defensas queda recurrir casacion tribunal supremo
Assassinat Consumat;La Vanguardia;apunala hombre pleno centro barcelona debera pasar anos carcel hombre condenado anos carcel asesinar hombre punaladas centro barcelona confirmado tribunal superior justicia cataluna tsjc sentencia sentencia audiencia barcelona condeno hombre asesinato acusado interpuso recurso desestimado tsjc ratificado sentencia asesinato alevosia dictada instancia hombre condenado anos carcel complicidad crimen
Robatori amb força;La Vanguardia;doblan denuncias robo metal red ferroviaria anos denuncias robos hurtos metal red ferroviaria duplicaron desprende respuesta parlamentaria firma consejera interior nuria parlon acceso acn documento indica adif puso conocimiento hechos enero octubre texto revela crecimiento exponencial tipo actos vandalicos red fgc compania denuncio enero octubre comunicado trece robos metal mayoria cobre red ferroviaria cataluna incrementado significativamente ultimos anos respuesta problema delincuencial disponen programa especifico lucha delincuencia metal poe lcd metal conselleria objetivo herramienta prevenir reducir hechos delictivos relacionados normal funcionamiento infraestructuras servicios poblacion sentido plan investiga hechos relacionados metales acero hierro cobre plomo aluminio zinc cromo magnesio
Robatori amb violència i/o intimidació;La Vanguardia;prision provisional robo violento hombre olot investigan casos abusos menores hombre investigado agresion sexual menores ingresado prision provisional comunicada fianza robo violento objeto peligroso olot girona tribunal superior justicia cataluna tsjc detenido puesto disposicion juzgado instruccion olot sabado funciones guardia analizar pruebas disponibles juez dictamino ingreso prision provisional
Homicidi Temptativa;La Vanguardia;prision detenido matar pareja santa margarida monjos juzgado guardia enviado prision provisional fianza hombre detenido acusado matar pareja santa margarida monjos alt penedes atropellar agentes chocar patrulla policial huia coche evitar arrestado informado tribunal superior justicia cataluna tsjc juzgado guardia vilafranca penedes mantiene causa abierta delitos homicidio grado tentativa quebrantamiento medida cautelar maltrato habitual amenazas conduccion temeraria
Homicidi per imprudència;La Vanguardia;fallece joven anos caldes montbui atropellado conductora ebria peaton anos fallecido madrugada persona resultado herida atropellados vehiculo carretera paso localidad caldes montbui valles oriental conducia mujer positivo prueba alcoholemia servei catala transit informado madrugada kilometro citada punto turismo impactado grupo personas iban caminando
Homicidi Consumat;La Vanguardia;prision preventiva presunto autor asesinato joven sant hipolit voltrega juez decretado prision provisional fianza hombre detenido presunto autor muerte menor anos tiroteo lunes sant hipolit voltegra barcelona acusado homicidio tenencia ilicita armas informado tribunal superior justicia cataluna tsjc confirmado acn magistrado ordenado ingreso brians acusado disposicion judicial jueves manana permanecido ocurrido hombre fugo generando expectacion localidad paradero desplegaron dispositivo integrado unidades especializadas buscaron hora manana
Contra la salut pública;La Vanguardia;guardia civil interviene tonelada cocaina puerto barcelona guardia civil agencia tributaria intervenido puerto barcelona kilogramos cocaina camuflada sacos cacao polvo cargamento procedente ecuador martes instituto armado investigacion abierta continua trabajando localizar personas responsables envio recepcion droga
Contra la salut pública;La Vanguardia;miguel ricart queda libertad juez barcelona acordado jueves dejar libertad unico condenado crimen alcasser miguel ricart detenido martes guardia urbana frente narcopiso calle aurorar barrio raval informado tribunal superior justicia cataluna comunicado titular juzgado instruccion numero dejado libertad cargos ricart detenido delito salud publica fiscalia solicitado medida detenidos designado domicilio barcelona antecedentes cuenten causa obligados comparecer quincenalmente juzgado
Homicidi Consumat;La Vanguardia;mata pareja anos cuchillazos barcelona homicidio consumado violencia genero suma larga lista ano ocasion numero calle sant iscle barcelona distrito nou barris hombre anos matado pareja anos cuchilladas autor habria llamado hechos sucedieron madrugada domingo media recibio aviso hechos llegada patrullas guardia urbana barcelona victima tenia pulso finalmente sem podido estabilizarla fallecido
Agressions sexuals i Abusos sexuals;La Vanguardia;prision fianza detenido acusado retener violar menor vilafranca juzgado instruccion numero vilafranca penedes decreto martes prision provisional comunicada fianza hombre anos nacionalidad albanesa acusado abordar menor anos mitad calle retenerla voluntad llevarla campo vides piso sant marti sarroca agredirla sexualmente reiterada causa abierta delito agresion sexual detencion ilegal tribunal superior justicia cataluna decena amigos familiares menor anos madrugada sabado retenida agredida sexualmente aposstado martes puertas juzgados vilafranca penedes esperar llegada detenido coche policial incidentes vehiculos trasladaban sospechoso finalmente allegados joven identificado vehiculo trasladaba albanes anos rodeado lanzado insultos individuo trataban golpear coche
